training,model,lang,class,variant,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
augmented_training,afro-xlmr,afr,anger,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,afr,anger,model,0.5098261719580093,0.0696266165674346,0.3293172690763052,0.006956027339634035,0.398705298513534,0.01742079732010673
augmented_training,afro-xlmr,afr,disgust,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,afr,disgust,model,0.5205128205128206,0.07147364033213513,0.06103286384976526,0.021514439882421785,0.1076901113543352,0.032435604354418626
augmented_training,afro-xlmr,afr,fear,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,afr,fear,model,0.37427319057753844,0.0707872997303207,0.5854341736694678,0.11347131148755793,0.4478403387603869,0.045532359502894644
augmented_training,afro-xlmr,afr,joy,majority_baseline,0.37089201877934275,0.0,1.0,0.0,0.541095890410959,0.0
augmented_training,afro-xlmr,afr,joy,model,0.6632503806308411,0.04636631867487722,0.7628691983122362,0.032650704003633936,0.7081577666049804,0.01654219891178848
augmented_training,afro-xlmr,afr,sadness,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,afr,sadness,model,0.5588318783638182,0.06040240533931727,0.7357001972386588,0.023913916475309938,0.6342879819129189,0.04598589452695528
augmented_training,afro-xlmr,afr,surprise,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,afr,surprise,model,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,amh,anger,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,amh,anger,model,0.5833356180702164,0.0290236472080895,0.7479954180985109,0.06899290500723028,0.653382921957084,0.009547277915253349
augmented_training,afro-xlmr,amh,disgust,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,amh,disgust,model,0.6982744436511942,0.021170654994089957,0.7845010615711253,0.03769325005855839,0.7381409891868005,0.005206415922250975
augmented_training,afro-xlmr,amh,fear,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,amh,fear,model,0.4837189712811603,0.007481083314384185,0.5493827160493827,0.05952870840119108,0.5134405437435741,0.027681776158525757
augmented_training,afro-xlmr,amh,joy,majority_baseline,0.1555806087936866,0.0,1.0,0.0,0.26926829268292685,0.0
augmented_training,afro-xlmr,amh,joy,model,0.7459188879426039,0.015386178441004667,0.7222222222222222,0.007542268114007761,0.7337786681008837,0.005664396316830209
augmented_training,afro-xlmr,amh,sadness,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,amh,sadness,model,0.7287675184838918,0.01624285590143875,0.7098591549295774,0.02126713925428383,0.7189243232173391,0.008643642304049674
augmented_training,afro-xlmr,amh,surprise,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,amh,surprise,model,0.5569196428571428,0.05883506854061248,0.7235772357723578,0.08822168461061264,0.624750548586097,0.031197437115406037
augmented_training,afro-xlmr,swa,anger,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,swa,anger,model,0.3114502505983236,0.022425456827054466,0.29723991507430997,0.07243618730034809,0.30244201227197204,0.04919140948756915
augmented_training,afro-xlmr,swa,disgust,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,swa,disgust,model,0.14769338855803085,0.011591179463883373,0.2258953168044077,0.12405873552834934,0.1702938340560278,0.05150651371779861
augmented_training,afro-xlmr,swa,fear,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,swa,fear,model,0.07958937198067632,0.045773265520923076,0.035460992907801414,0.024568096561260667,0.048713788104973926,0.03210853003269695
augmented_training,afro-xlmr,swa,joy,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,swa,joy,model,0.4363924206976815,0.024032224703424112,0.566066066066066,0.08309966427640672,0.4899217640140559,0.02097659035663364
augmented_training,afro-xlmr,swa,sadness,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,swa,sadness,model,0.3221973848175086,0.04065433036908293,0.3776493256262043,0.07227360051449346,0.34199797492480416,0.01735849256579112
augmented_training,afro-xlmr,swa,surprise,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,afro-xlmr,swa,surprise,model,0.3242537024421243,0.018875787297236487,0.560549313358302,0.07605240654440967,0.41030386578773675,0.03345863929205021
augmented_training,mbert,afr,anger,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,mbert,afr,anger,model,0.2686104218362283,0.07011572304874264,0.12851405622489961,0.025080313246579913,0.16901652850758184,0.009004432266764506
augmented_training,mbert,afr,disgust,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,mbert,afr,disgust,model,0.3593304843304843,0.23011623477241222,0.06103286384976526,0.02931923942910046,0.10009787289573274,0.04340977105620591
augmented_training,mbert,afr,fear,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,mbert,afr,fear,model,0.31432807226363774,0.042058019447347696,0.3753501400560224,0.055952337130078925,0.34196690205120817,0.047176106987980616
augmented_training,mbert,afr,joy,majority_baseline,0.37089201877934275,0.0,1.0,0.0,0.541095890410959,0.0
augmented_training,mbert,afr,joy,model,0.5820903254220191,0.05286188177678806,0.6810126582278482,0.08947137745353054,0.6226444764567638,0.00816416714873068
augmented_training,mbert,afr,sadness,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,mbert,afr,sadness,model,0.4600341792023528,0.058768445145704756,0.5956607495069034,0.05303483100492606,0.5168162764364664,0.038111754968852066
augmented_training,mbert,afr,surprise,majority_baseline,0.0,0.0,0.0,0.0,0.0,0.0
augmented_training,mbert,afr,surprise,model,0.0,0.0,0.0,0.0,0.0,0.0
